,text,color,size,position,time,sn,userid
91,我是兔媽咪,#FDE53D,2,2,129,42400432,yjyjyyjj
92,嗨,#FFFFFF,1,0,129,42530942,Wufun123
93,三小,#FFFFFF,1,0,130,37130234,ryan950623
94,好可愛,#FFFFFF,1,0,130,42719189,opendassh
95,8,#FFFFFF,1,0,133,44529558,st5109185
96,兄弟,#FFFFFF,1,0,135,37905019,Liny37723
97,買了會員看不了廣告呢,#FF0026,1,2,135,39669980,skfq99492p
98,嗚啦 嗚啦 嗚啦,#FFFFFF,2,2,135,40035961,egggg0720
99,可愛！,#FFFFFF,1,0,135,42832226,wwww98347
100,嘻嘻,#FF02D3,2,0,135,44777412,n2mdgjrmnx
101,巴哈我大哥,#FFFFFF,1,0,140,40226966,rc20081109
102,你好吉一卡娃,#00FF91,1,1,143,45336499,peide256
103,我可以重複N次,#FFFFFF,1,0,144,42655630,Euphie617
104,好可愛,#FF9496,2,0,148,42344679,QAQ108017
105,嗚啦,#FFFFFF,1,0,151,41817353,cjad20010827
106,好可愛,#FF9496,1,0,152,42649121,paz76823361
107,兄弟轉個身,#FFFFFF,2,0,155,38197027,Dd090527
108,發現才1分多鐘卻要看30秒廣告，直接買付費:D,#FF9496,2,2,155,41472799,koorishin
109,烏,#FFFFFF,1,0,155,43754902,s1080025
110,好可愛哦😍🥰🥰,#FF0026,1,0,155,44501388,aliny54689
111,體感一分鐘,#FFFFFF,1,0,159,40792176,aaazxc348481
112,泰可愛辣!,#FF0026,2,0,160,43489018,tariuang
113,強烈建議買會員！！！,#FDE53D,1,0,160,43991692,sy09871601
114,兄弟你好香,#FFFFFF,1,0,162,39629298,Shsjwi
115,小可愛登場！,#FF0026,2,0,165,41104654,zzx0914
116,超可愛///////////////////,#FFFFFF,1,0,168,37088925,akarimez
117,30秒的廣告看一分半的小八.,#FFFFFF,1,0,172,37090126,murphyhu0219
118,蛤,#FFFFFF,1,0,173,42646453,eric200571
119,2024/11/28 二刷 求更新,#FFFFFF,0,0,175,42913488,aids123die
120,你好可愛啊🥹,#FFFFFF,1,0,176,39508940,amandalin607
121,好可哀,#FFFFFF,1,0,176,42513019,wugu10416
122,兄弟 吃統一布丁囉,#FFFFFF,1,0,177,39288033,Nakobalala
123,開頭就玩食物,#FFFFFF,1,0,179,43844028,egriawei
124,超可愛,#FFFFFF,1,0,179,44179850,g840483938
125,好好看啊！,#FFFFFF,1,0,184,44456224,nxjhcfynvq
126,啊啊啊超可愛 我沒了///,#FFFFFF,1,0,185,37106243,blight0710
127,聽說辱華了 來看看是什麼神作,#FFFFFF,1,0,185,38868903,IamBongu0626
128,兄弟,#FFFFFF,1,0,186,37249637,designer22
129,簽,#FFFFFF,1,0,188,42532155,rosa0812
130,好萌喔,#FFFFFF,1,0,191,43650216,annana566
131,兄弟....,#FFFFFF,1,0,192,40389980,llennskadi
132,呀!!!!,#FFFFFF,1,0,193,41946183,Onandoff
133,兄弟…,#FFFFFF,1,0,195,37292990,enjoyuting
134,為了看 兄弟，你好香 買會員,#FFFFFF,1,0,197,41802021,a24060535
135,兄弟 轉身 有急事,#FFFFFF,1,0,198,38904909,Isjskana
136,我的吉伊宝宝！！,#FFFFFF,1,0,200,39826739,IIJiYi107
137,好可愛！！！！,#FF0026,2,0,200,43658861,qwq1204
138,這三小,#FFFFFF,1,0,201,41353244,BHSN00002kht
139,兄弟 你好有味道,#FFFFFF,1,0,201,41924853,hhhh8514
140,吉哇,#FF0026,1,0,208,41386750,redskycity
141,兄弟有急事,#FFFFFF,1,0,210,38771376,Steven1226
142,烏薩奇我寶貝,#FFFFFF,1,0,210,38905005,n1073219
143,兄弟你好香,#FF0026,2,2,210,41495379,n5gh98vz4n
144,這三小,#FF0026,2,1,215,38403282,smoonzz
145,好可愛啊天,#FFFFFF,1,0,215,42318674,wxiaomei945
146,布丁兔兔！！！,#FDE53D,1,0,220,38517823,linliyan6008
147,黏黏黏,#FFFFFF,1,0,220,40271970,Bananaaa
148,啊啊啊可愛,#FF02D3,1,0,220,42925458,angel1joanne
149,我第一次看,#FFFFFF,1,0,221,41164994,tsubakilee
150,體感一分鐘WWW,#FFFFFF,1,0,221,41597794,nico7214034
151,好可愛喔,#FFFFFF,1,0,223,37089664,torappub70
152,看巴哈那麼久 竟然是因為吉伊卡哇課金,#FFFFFF,1,0,225,42426973,Roubert
153,第一次在巴哈課金就為了吉伊卡哇,#FFFFFF,1,0,225,43478064,ch0922
154,池沼布丁,#FF9625,2,1,235,37097163,w3616327
155,我是新粉🤡🤡,#FFFFFF,1,0,235,42318680,wxiaomei945
156,好可愛😍😍,#FFFFFF,1,0,236,41012224,kaito0621
157,幹我跟我同學ww,#FFFFFF,1,0,240,37884243,c107049
158,首刷 機率下 2024/9/1,#FFFFFF,1,0,240,41578076,S1104930830
159,兄弟，你好香( 。ớ ₃ờ)ھ,#FFFFFF,1,0,246,42323685,gndr1798
160,兄弟操我,#00FF91,2,0,247,37385442,iowabb61
161,卡哇,#FFFFFF,1,0,249,37090109,kodgreen59
162,烏拉,#FFFFFF,1,0,250,37088965,hettt5655
163,兄弟 你好香,#FFFFFF,2,0,252,37590354,C8763jason
164,最愛兔哥烏薩奇,#FFFFFF,1,0,252,41204719,jessie78327
165,晴空塔有看到這段,#FFFFFF,1,0,258,37105528,mu317666
166,"有人在嗎嘉義

有人在嗎+1",#FFFFFF,1,0,259,41165004,tsubakilee
167,我就來看看他在紅什麼,#FFFFFF,1,0,260,41587998,Yan705
168,為什麼會有HOMO發言啊！,#FFFFFF,1,0,262,38747311,HeyMeow
169,兄弟你好香,#FFFFFF,1,0,265,37200055,BHSN00005180
170,互舔就是另外的分類了,#FFFFFF,1,0,267,39361498,TAITAN
171,可愛,#00C3FC,1,0,267,40894454,kekerry75
172,2024/8/26一刷,#FFFFFF,1,0,267,41455922,cupid005
173,兄弟你好香XD,#FFFFFF,1,0,275,42218642,Jing54017
174,兄弟,#FFFFFF,1,0,284,38507836,badkin
175,為了吉伊我脫離當免費仔,#FF0026,2,2,285,41698846,Lancelot1204
176,啊啊啊啊啊好可愛,#FF0026,1,0,285,43658863,qwq1204
177,好可愛～^ _ ^😍,#FFFFFF,1,0,290,44530212,a8962189
178,好可愛🫠,#FFFFFF,1,0,291,39717927,Sonnun
179,咦呀！！！！！,#FFFFFF,1,0,294,39156757,jnini107040
180,香香的～（？,#FF0026,1,1,294,45101639,kateihan0307
181,在的說話,#FFFFFF,1,0,295,43843903,Mia1020214
182,啊～～～,#FFFFFF,1,0,296,43574718,kevinerrt098
183,^^,#FFFFFF,1,0,298,43535454,dozwang
184,???,#FFFFFF,1,0,299,39987834,karta2194512
185,小寶寶們ˊ///ˋ,#FFFFFF,1,0,303,37090112,kodgreen59
186,這隻黃色的好欠打,#FFFFFF,1,0,307,39310541,a631003
187,最愛兔哥烏薩奇>///<,#FFFFFF,1,0,307,41204730,jessie78327
188,嗅嗅,#FFFFFF,1,0,309,37846552,brianbon
189,海嗨嗨嗨嗨👏👏👏👏👏,#00C3FC,1,0,315,42633677,yzf8rvkgnk
190,兔子超ㄐ歪,#FFFFFF,1,0,316,37182596,rockman73
191,烏薩奇寶貝,#FFFFFF,1,0,323,44529406,st5109185
192,好可愛,#FFFFFF,1,0,324,38508089,Furabbit
193,感覺超黏踢踢的,#FFFFFF,1,0,325,38219587,keroro9987
194,在幹嘛,#00FF91,1,0,325,41977362,Alice5555
195,吉八,#FFFFFF,2,0,325,43824367,NOSAJJASON
196,看起來很好吃,#FFFFFF,1,0,329,43200774,amy20130605
197,呀～～～,#FFFFFF,1,0,332,39926073,kg147369
198,兄弟 你好香阿,#FFFFFF,1,0,332,42273064,q8882020
199,好可愛,#FFFFFF,1,0,334,42109022,alerub
200,可惡 我居然為了吉伊卡哇課金,#FF0026,1,2,335,41989040,fly410149
201,最喜歡烏薩奇+1～～～,#FFFFFF,1,0,335,44131268,tina117
202,兄弟 你好甜,#FFFFFF,1,0,340,37912085,thffhrherh5
203,想吃鬆餅,#FFFFFF,1,0,342,38798408,shadow121010
204,廣告比影片久XD,#FFFFFF,1,0,342,43809188,pikachiuweii
205,???,#FFFFFF,1,0,344,40801113,Angela213120
206,好可愛喔,#FFFFFF,1,0,347,43024888,j1070526
207,兄弟你好香,#FF0026,1,0,350,38700882,milkppt
208,2025.5.15簽到,#FFFFFF,1,0,353,45001925,hanning525
209,我12了,#FF0026,1,0,355,44035485,Dhkwk
210,好可愛~,#FFFFFF,1,0,356,38496581,vicky220
211,兔哥,#FFFFFF,1,0,356,43754904,s1080025
