,en,href,rating,area_genre,dinner_price,lunch_price,holiday
52,Mon St. Clair,https://tabelog.com/tw/tokyo/A1317/A131703/13003221/,3.81,"自由丘車站 / 蛋糕, 馬卡龍, 麵包","JPY 2,000 - JPY 2,999",-,星期三
53,noix de beurre Shinjuku Isetan Ten,https://tabelog.com/tw/tokyo/A1304/A130401/13124571/,3.81,"新宿三丁目車站 / 蛋糕, 巧克力",- JPY 999,- JPY 999,-
54,French Gashi Patissier Chocolatier Inamura Shozo,https://tabelog.com/tw/tokyo/A1311/A131105/13047298/,3.81,"日暮里車站 / 蛋糕, 巧克力","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二"
55,La Maison du Chocolat Marunouchi Ten,https://tabelog.com/tw/tokyo/A1301/A130102/13000036/,3.81,"有樂町車站 / 巧克力, 蛋糕, 咖啡店",-,"JPY 3,000 - JPY 3,999",-
56,L'EPICURIEN,https://tabelog.com/tw/tokyo/A1320/A132001/13005891/,3.81,"吉祥寺車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二, 星期三, 星期四, 星期五"
57,IL PLEUT SUR LA SEINE,https://tabelog.com/tw/tokyo/A1303/A130303/13001912/,3.81,代官山車站 / 蛋糕,"JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期一, 星期二, 星期三, 星期四, 星期日"
58,BONNET D'ANE,https://tabelog.com/tw/tokyo/A1317/A131705/13158722/,3.81,"三軒茶屋車站 / 麵包, 西式甜點, 三明治","JPY 1,000 - JPY 1,999",-,"星期一, 星期二, 星期三"
59,Usagiya Hon Ten,https://tabelog.com/tw/tokyo/A1302/A130202/13003250/,3.80,"日本橋車站 / 日式點心, 銅鑼燒",-,- JPY 999,"星期六, 星期日"
60,L’AUTOMNE Akitsu Honten,https://tabelog.com/tw/tokyo/A1328/A132806/13005967/,3.80,"新秋津車站 / 蛋糕, 馬卡龍, 西式甜點",- JPY 999,- JPY 999,星期三
61,Creperie Tirol,https://tabelog.com/tw/tokyo/A1318/A131814/13205650/,3.80,祖師谷大藏車站 / 可麗餅/法式薄餅,-,"JPY 1,000 - JPY 1,999","星期一, 星期四"
62,Asada Ya,https://tabelog.com/tw/tokyo/A1308/A130802/13024135/,3.80,"溜池山王車站 / 日式點心, 大福麻糬",-,- JPY 999,"星期六, 星期日, 節假日"
63,As,https://tabelog.com/tw/tokyo/A1303/A130302/13279065/,3.80,"惠比壽車站 / 西式甜點, 咖啡店, 甜點",-,"JPY 8,000 - JPY 9,999",-
64,Kameju,https://tabelog.com/tw/tokyo/A1311/A131102/13003655/,3.79,"淺草車站 / 日式點心, 銅鑼燒, 大福麻糬",-,- JPY 999,-
65,Taiyaki Wakaba,https://tabelog.com/tw/tokyo/A1309/A130902/13000848/,3.79,"四谷車站 / 鯛魚燒・大判燒, 咖啡店, 日式點心",- JPY 999,- JPY 999,"星期三, 星期日"
66,VIRON Marunouchi Ten,https://tabelog.com/tw/tokyo/A1302/A130201/13043904/,3.79,"東京車站 / 麵包, 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
67,Echire Maison du Beurre,https://tabelog.com/tw/tokyo/A1302/A130201/13096439/,3.79,"二重橋前車站 / 蛋糕, 麵包, 意式冰淇淋/冰淇淋","JPY 3,000 - JPY 3,999","JPY 3,000 - JPY 3,999",-
68,Taiyaki Hiiragi,https://tabelog.com/tw/tokyo/A1303/A130302/13026096/,3.79,"惠比壽車站 / 鯛魚燒・大判燒, 霜淇淋",- JPY 999,- JPY 999,-
69,Toshi Yoroizuka Middo Taun,https://tabelog.com/tw/tokyo/A1307/A130701/13037382/,3.79,"六本木車站 / 蛋糕, 西式甜點","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
70,Kuya,https://tabelog.com/tw/tokyo/A1301/A130101/13002591/,3.79,銀座車站 / 日式點心,"JPY 1,000 - JPY 1,999",-,"星期日, 節假日"
71,Suzumeya,https://tabelog.com/tw/tokyo/A1305/A130501/13009255/,3.79,"池袋車站 / 日式點心, 銅鑼燒",-,- JPY 999,"星期一, 星期二, 星期三, 星期日"
72,Le Pan de Joel Robuchon Shibuya Hikarieshinkyuesuten,https://tabelog.com/tw/tokyo/A1303/A130301/13140263/,3.79,"澀谷車站 / 麵包, 三明治, 西式甜點","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
73,Mizuho,https://tabelog.com/tw/tokyo/A1306/A130601/13001154/,3.79,"明治神宮前車站 / 日式點心, 大福麻糬",-,- JPY 999,-
74,SIROTAE,https://tabelog.com/tw/tokyo/A1308/A130801/13002850/,3.78,"赤坂見附車站 / 蛋糕, 咖啡店, 喫茶店",-,"JPY 1,000 - JPY 1,999","星期一, 星期日"
75,Naniwaya Sohonten,https://tabelog.com/tw/tokyo/A1307/A130702/13002775/,3.78,"麻布十番車站 / 日式甜點店, 鯛魚燒・大判燒, 炒麵",-,- JPY 999,"星期二, 星期三"
76,Yanagiya,https://tabelog.com/tw/tokyo/A1302/A130204/13003065/,3.78,"人形町車站 / 鯛魚燒・大判燒, 意式冰淇淋/冰淇淋",-,- JPY 999,"星期一, 星期日"
